player_name,dg_id,skill_pred,custom_pred,p_make_cut,p_make_cut_model,top20_prob_model,top20_fair_odds_dec,top20_prob_anchored,top20_fair_odds_dec_anchored,top20_prob_dh,top20_fair_odds_dec_dh,top20_prob_anchored_dh,top20_fair_odds_dec_anchored_dh,sg_app,sg_ott,sg_arg,sg_putt,total_fit_adjustment,total_course_history_adjustment,timing_adjustment,std_deviation,make_cut_fair_odds_dec_model,market_odds_best_dec,market_book_best,market_prob_best,edge_prob,value_flag,bet_flag
"Noren, Alex",10419,0.23865,0.2212688725392269,0.7042253521126761,0.6528,0.23735,4.213187276174426,0.23735,4.213187276174426,0.2372834937284937,4.214368156363323,0.2372834937284937,4.214368156363323,0.333,-0.066,0.282,0.438,0.0946477228346268,0.0357392705509012,-0.143164316358904,2.75408879248364,1.531862745098039,1.36,betmgm,0.7352941176470588,-0.08249411764705872,False,False
"McNealy, Maverick",18634,0.39485,0.3673123563918943,0.7518796992481203,0.692,0.30575,3.270645952575633,0.30575,3.270645952575633,0.3059854838217338,3.268128891312363,0.3059854838217338,3.268128891312363,0.441,0.424,0.17,0.293,-0.0099178597330069,0.0527937716407077,-0.145927731084202,2.86816205832695,1.4450867052023122,1.29,bet365,0.7751937984496123,-0.08319379844961239,False,False
"Horschel, Billy",11276,-0.06955,-0.0604427151379179,0.5154639175257733,0.5431,0.1371,7.293946024799417,0.1371,7.293946024799417,0.1367789463314463,7.311066701572433,0.1367789463314463,7.311066701572433,0.004,-0.361,0.071,0.114,0.0999238794263165,0.224251110673458,-0.0604882930711127,2.8255366103446,1.8412815319462343,1.57,bet365,0.6369426751592356,-0.09384267515923561,False,False
"Fowler, Rickie",12965,0.2833,0.2884008661626065,0.7407407407407407,0.66895,0.26735,3.740415186085656,0.26735,3.740415186085656,0.2669266301753802,3.746347823531001,0.2669266301753802,3.746347823531001,0.242,0.444,0.021,0.371,-0.0546324327451661,0.125098281735521,0.0215459767517356,2.82857377531124,1.4948800358771208,1.3,bet365,0.7692307692307692,-0.10028076923076912,False,False
"McCarthy, Denny",19870,0.09655,0.1244451514463397,0.6493506493506493,0.61305,0.1902,5.257623554153523,0.1902,5.257623554153523,0.1912217689255189,5.229530118976678,0.1912217689255189,5.229530118976678,0.189,-0.234,0.097,0.414,0.0984843095674438,0.241092964231386,0.0299603613901304,2.74396725366532,1.6311883206916238,1.4,betmgm,0.7142857142857143,-0.10123571428571432,False,False
"Henley, Russell",14578,0.4652,0.4392077507518385,0.7936507936507936,0.72925,0.34065,2.935564362248642,0.34065,2.935564362248642,0.3401267993117993,2.940079999645324,0.3401267993117993,2.940079999645324,0.596,0.284,0.287,0.377,-0.0100974500601287,0.0431941941492105,-0.135711069748046,2.74128364852465,1.3712718546451834,1.2,bet365,0.8333333333333334,-0.10408333333333342,False,False
"Kim, S.H.",21688,-0.1216999999999999,-0.111662391718273,0.5813953488372093,0.5166,0.1231,8.123476848090982,0.1231,8.123476848090982,0.1236617325729825,8.086576010164025,0.1236617325729825,8.086576010164025,-0.346,0.118,0.067,0.324,0.0162782835313276,0.0664152633425316,0.025445083807338,2.89022099589231,1.9357336430507164,1.57,bet365,0.6369426751592356,-0.12034267515923569,False,False
"MacIntyre, Robert",23323,0.33345,0.3042100485747851,0.8,0.6785,0.26975,3.70713623725672,0.26975,3.70713623725672,0.2690912083749583,3.716212083029392,0.2690912083749583,3.716212083029392,0.216,0.511,0.231,0.638,0.0395424163330625,-0.0033823557483839,-0.16512537635551,2.76968773796146,1.4738393515106851,1.25,skybet,0.8,-0.12150000000000005,False,False
"Spieth, Jordan",14636,0.3252,0.3439566674057299,0.7299270072992701,0.6916,0.2903,3.444712366517396,0.2903,3.444712366517396,0.2906486546786547,3.440580177828844,0.2906486546786547,3.440580177828844,0.44,0.144,0.193,0.279,0.0293055329423813,0.340971919300296,-0.0061124092676152,2.80752467766666,1.4459224985540775,1.22,betmgm,0.819672131147541,-0.128072131147541,False,False
"Parry, John",13764,0.2247,0.2186573553016479,0.6493506493506493,0.65805,0.23295,4.2927666881305,0.23295,4.2927666881305,0.2325968158230658,4.299284994342703,0.2325968158230658,4.299284994342703,0.314,0.234,-0.004,-0.061,-0.0438875132960898,-0.0443052044453729,0.0028068342676277,2.73381183210561,1.5196413646379454,,,,,False,False
