player_name,dg_id,skill_pred,custom_pred,p_make_cut,top20_prob_model,top20_fair_odds_dec,sg_app,sg_ott,sg_arg,sg_putt,total_fit_adjustment,total_course_history_adjustment,timing_adjustment,std_deviation,p_make_cut_model,make_cut_fair_odds_dec_model,market_odds_best_dec,market_book_best,market_prob_best,edge_prob,value_flag,bet_flag,ev_per_unit
"Parry, John",13764,0.26305,0.2618425653255991,0.6535947712418301,0.236,4.237288135593221,0.377,0.236,0.013,-0.046,0.0082815122272388,-0.0450174913815942,0.0010764433597747,2.61087502277225,0.6535947712418301,1.53,,,,,False,False,
"Meissner, Mac",28159,0.2478,0.2569941787418682,0.6622516556291391,0.2355,4.246284501061571,0.332,0.204,0.14,0.002,0.0198556017806961,-0.0350759107041296,0.0448120704950253,2.66341830644946,0.6622516556291391,1.5099999999999998,,,,,False,False,
"Smith, Jordan",18586,0.19525,0.1950401456481624,0.5988023952095809,0.2132,4.690431519699812,0.26,0.277,-0.076,-0.094,0.0082516328791733,-0.0450174913815942,0.0060792846466238,2.71431382242673,0.5988023952095809,1.67,,,,,False,False,
"Eckroat, Austin",26653,0.1733,0.1776110087783648,0.5813953488372093,0.2052,4.8732943469785575,0.288,0.164,-0.239,-0.022,0.0021615437331804,-0.037107957320092,0.0297512613552569,2.6922845693384,0.5813953488372093,1.72,,,,,False,False,
"Homa, Max",17538,0.1331,0.1619800627910974,0.6060606060606061,0.20355,4.912797838368951,0.179,0.093,-0.013,0.127,0.0113427784556156,0.155942102795468,0.0997433990288124,2.7455108649853,0.6060606060606061,1.65,,,,,False,False,
"Grillo, Emiliano",12808,0.1637499999999999,0.1647118769770331,0.5813953488372093,0.1995,5.012531328320802,0.241,0.194,-0.201,0.028,0.0107685638051271,0.0584362126043648,-0.0151839501684888,2.67848120117091,0.5813953488372093,1.72,,,,,False,False,
"Dahmen, Joel",14509,0.1235,0.1560912399518519,0.5780346820809249,0.192,5.208333333333333,0.116,0.32,-0.047,-0.156,0.012375123278018,0.013458265653263,0.153404071706935,2.70925216180225,0.5780346820809249,1.7299999999999998,,,,,False,False,
"Hisatsune, Ryo",22760,0.1254999999999999,0.1541939857984046,0.6060606060606061,0.1849,5.408328826392644,0.142,0.206,0.069,-0.11,0.0078002303779764,-0.022337327473612,0.145154145671438,2.71546774636364,0.6060606060606061,1.65,,,,,False,False,
"Smalley, Alex",18474,0.1283,0.1280235798661312,0.6097560975609756,0.179,5.58659217877095,0.086,0.34,0.005,-0.045,0.014754027103825,0.0072394627778462,-0.0105689799157178,2.75714724519003,0.6097560975609756,1.64,,,,,False,False,
"Cole, Eric",21756,0.1115,0.1312697464932936,0.6060606060606061,0.17645,5.667327854916407,0.305,-0.399,0.17,0.265,0.0096821741702497,-0.0429990187631279,0.104757400072125,2.70605663612677,0.6060606060606061,1.65,,,,,False,False,
